theme,distinctcolors
Basic Set,77
Fairy-Tale,75
Duplo,66
Star Wars,64
Creator,64
Playhouse,64
Friends,63
Batman,63
Ninjago,63
Supplemental,62
Star Wars Episode 4/5/6,62
Gear,59
Christmas,58
Harry Potter,58
Town,58
Disney Princess,58
Elves,58
Spider-Man,56
Other,56
Modular Buildings,56
Juniors,55
LEGO Ideas and CUUSOO,55
Construction,54
Super Heroes,54
The LEGO Movie,54
LEGO Brand Store,54
Clikits,53
Game,52
Star Wars Episode 2,52
Police,52
Recreation,52
FIRST LEGO League,52
Dimensions,52
Classic,51
Books,51
City,51
Knights Kingdom II,51
Airport,50
Fire,50
Star Wars Episode 1,49
Traffic,49
Nexo Knights,49
Avengers,49
Star Wars Rebels,49
Star Wars Episode 3,48
Star Wars Clone Wars,48
Legends of Chima,48
Teenage Mutant Ninja Turtles,48
Castle,47
Educational and Dacta,47
Minecraft,47
Jungle Rescue,47
Disney,47
Fantasy Era,46
SpongeBob SquarePants,46
Monster Fighters,45
Ultra Agents,45
Sculptures,44
Master Building Academy,44
Building,43
Bionicle,43
Toy Story,43
Marvel,43
Kingdoms,42
Mini,42
Scooby-Doo,42
Mindstorms,42
Guardians of the Galaxy,42
Technic,41
Cars,41
Animals,41
Basic Model,41
Pirates of the Caribbean,41
An Unexpected Journey,41
Monthly Mini Model Build,41
Belville,41
Star Wars Episode 7,40
Sorcerer's Stone,40
Justice League,40
Speedorz,40
Divers,39
Pirates,38
Seasonal,38
Off-Road,38
Exo-Force,38
Easter,37
Model,37
Hospital,37
Atlantis,37
Coast Guard,37
Jurassic World,37
Designer Sets,37
Star Wars Other,37
Goblet of Fire,37
RC Train,36
Harbor,36
Kingdom of the Crystal Skull,36
Galaxy Squad,36
Star Wars Rogue One,36
Prisoner of Azkaban,36
The Simpsons,36
Angry Birds,36
Agents,36
Titans,35
The Two Towers,35
Space Port,35
Drome Racers,35
The Battle of the Five Armies,35
Raiders of the Lost Ark,35
The Fellowship of the Ring,35
Pirates II,34
Race,34
Jungle,34
Valentine,34
The Lone Ranger,34
Bricktober,34
Chamber of Secrets,34
Heroes,33
Arctic,33
Pirates III,33
Golden Land,33
Space Police III,33
Series 12 Minifigures,33
Power Racers,33
9V,32
Villains,32
Promotional,32
Tiny Turbos,32
Halloween,32
Legoland Parks,32
Brickheadz,32
Trains,32
Speed Champions,32
Playsets,32
Life On Mars,31
Soccer,31
Farm,31
Aquaraiders II,31
Knights Kingdom I,30
Advent Sub-Set,30
Studios,30
Fusion,30
Iron Man,30
The Desolation of Smaug,30
Constraction,30
Superman,30
Dino,30
Airjitzu,30
Series 3 Minifigures,30
Town Plan,29
Prince of Persia,29
Ferrari,29
X-Pod,29
Power Miners,29
Vikings,29
Series 11 Minifigures,29
Series 13 Minifigures,29
The Return of the King,29
Series 8 Minifigures,29
Factory,28
Advent,28
Cargo,28
Pharaoh's Quest,28
Alien Conquest,28
Scala,28
RCX,28
Radio Control,28
Series 10 Minifigures,28
Basketball,27
Service Packs,27
Riding Cycle,27
Skylines,27
Creature,27
Orient Expedition,27
Hero Factory,27
Mars Mission,27
X-Men,27
Protectors,27
Series 14 Minifigures,27
Series 17 Minifigures,27
Temple of Doom,27
Warriors,27
Thanksgiving,26
Space,26
Xalax,26
World Racers,26
Order of the Phoenix,26
Series 15 Minifigures,26
Series 16 Minifigures,26
Ghostbusters,26
Train,25
World City,25
Gas Station,25
Gravity Games,25
Collectible Minifigures,25
Series 9 Minifigures,25
The LEGO Movie Series,25
Bohrok-Kal,25
Series 4 Minifigures,25
Series 6 Minifigures,25
Piraka,25
Ultimate Collector Series,24
WeDo,24
Series 1 Minifigures,24
Hockey,23
Architecture,23
Mission Deep Freeze,23
Toa Okoto,23
Time Cruisers,22
Pick A Model,22
Track System,22
Last Crusade,22
Visorak,22
Series 5 Minifigures,22
Series 7 Minifigures,22
Throwbot Slizer,21
Freestyle,21
Island Xtreme Stunts,21
Series 6,21
Dino 2010,21
Dino Attack,21
Toa,21
Rahkshi,21
Vahki,21
Series 2 Minifigures,21
Battle Vehicles,21
Glatorian Legends,21
My Own Train,20
Food & Drink,20
Desert,20
NXT,20
Extreme Team,20
Ninja,20
RoboRiders,20
Mission Deep Sea,20
Bohrok Va,20
Basic,20
Paradisa,20
Series 8,20
Legend Beasts,20
Speed Racer,20
Toa Nuva,20
Mistika,20
Toa Mahri,20
Discovery,19
Robot,19
Dino Island,19
Turaga,19
Avatar,19
Inventor,19
Series 5,19
Bohrok,19
Toa Metru,19
Toa Inika,19
Barraki,19
Bulk Bricks,18
Boat,18
Universal Building Set,18
Learning,18
Classic Basic,18
Station,18
EV3,18
Alpha Team,18
Rahi,18
Phantoka,18
Agori,18
Glatorian,18
My Own Creation,17
Res-Q,17
Sports,17
Mosaic,17
Pirates I,17
Royal Knights,17
Competition,17
The Lord of the Rings,17
Disney's Mickey Mouse,17
Series 2,17
Series 3,17
Series 9,17
Outback,17
Vehicles,17
Racers,17
Matoran of Metru Nui,17
Toa Hordika,17
Model Team,16
Fright Knights,16
Legoland,16
