Set1,Set2,PartSimilarityScore
Puppy Playground,Puppy Playground,1.0
Puppy Playground,Heartlake Dog Show,0.8421052631578947
Puppy Playground,Adventure Camp Archery,0.8421052631578947
Puppy Playground,Mia's Beach Scooter,0.8421052631578947
Puppy Playground,Puppy Championship,0.8
Puppy Playground,Puppy Parade,0.7619047619047619
Puppy Playground,Heartlake Party Shop,0.7619047619047619
Puppy Playground,Emma's Photo Studio,0.75
Puppy Playground,Emma's Lifeguard Post,0.75
Puppy Playground,Mia's Bedroom,0.75
Puppy Playground,Puppy Treats & Tricks,0.7368421052631579
Puppy Playground,Heartlake News Van,0.7272727272727273
Puppy Playground,Vet Clinic,0.7272727272727273
Puppy Playground,Emma's Ice Cream Truck,0.7272727272727273
Puppy Playground,Andrea’s Stage,0.7222222222222222
Puppy Playground,Pop Star Recording Studio,0.7142857142857143
Puppy Playground,Olivia's Ice Cream Bike,0.7142857142857143
Puppy Playground,Heartlake Summer Pool,0.7083333333333334
Puppy Playground,Heartlake Riding Club,0.7083333333333334
Puppy Playground,Winter Fun,0.7058823529411765
Puppy Playground,Heartlake Puppy Daycare,0.6956521739130435
Puppy Playground,Advent Calendar 2016 Friends,0.6956521739130435
Puppy Playground,Emma’s Fashion Design Studio,0.6842105263157895
Puppy Playground,Party Gift Shop,0.6842105263157895
Puppy Playground,Andrea's Mountain Hut,0.6842105263157895
Puppy Playground,Heartlake Pet Salon,0.6818181818181818
Puppy Playground,Stephanie's Friendship Cakes,0.6818181818181818
Puppy Playground,Olivia's Exploration Car,0.6818181818181818
Puppy Playground,Party Train,0.6818181818181818
Puppy Playground,Heartlake Lighthouse,0.6666666666666666
Puppy Playground,Stephanie's Beach House,0.6666666666666666
Puppy Playground,Heartlake Vet,0.6666666666666666
Puppy Playground,Heartlake Flying Club,0.6666666666666666
Puppy Playground,Olivia's Speedboat,0.6666666666666666
Puppy Playground,Stephanie's Pizzeria,0.6666666666666666
Puppy Playground,Mini Golf,0.6666666666666666
Puppy Playground,Pop Star Dressing Room,0.6521739130434783
Puppy Playground,Heartlake City Pool,0.6521739130434783
Puppy Playground,Heartlake Stables,0.6521739130434783
Puppy Playground,Birthday Party,0.6521739130434783
Puppy Playground,Model Catwalk,0.65
Puppy Playground,Olivia's Newborn Foal,0.65
Puppy Playground,Emma's Karate Course,0.65
Puppy Playground,Andrea's Musical Duet,0.65
