year,listofthemes
2017,"[Batman,Nexo Knights,Friends]"
2016,"[Nexo Knights,Friends,Ninjago]"
2015,"[Friends,Ninjago,Gear]"
2014,"[Gear,Friends,Star Wars]"
2013,"[Friends,Star Wars,City]"
2012,"[Friends,Ninjago,Star Wars]"
2011,"[Ninjago,Gear,City]"
2010,"[City,Castle,Gear]"
2009,"[City,Pirates,Power Miners]"
2008,"[City,Castle,Police]"
2007,"[City,Belville,Exo-Force]"
2006,"[City,Basic Set,NXT]"
2005,"[Clikits,Knights Kingdom II,City]"
2004,"[Clikits,Knights Kingdom II,Creator]"
2003,"[Basketball,Orient Expedition,Creator]"
2002,"[Technic,Soccer,Service Packs]"
2001,"[Studios,My Own Train,Life On Mars]"
2000,"[Bulk Bricks,RoboRiders,Advent Sub-Set]"
1999,"[Classic Basic,Advent Sub-Set,Space Port]"
1998,"[Classic Basic,Soccer,Desert]"
1997,"[Basic Model,UFO,Technic]"
1996,"[Supplemental,Technic,Airport]"
1995,"[Freestyle,Technic,Race]"
1994,"[Technic,Recreation,Basic Model]"
1993,"[Technic,Service Packs,Castle]"
1992,"[Technic,Pirates I,Race]"
1991,"[9V,Service Packs,Blacktron II]"
1990,"[Basic,Airport,M:Tron]"
1989,"[Service Packs,Basic Model,Technic]"
1988,"[Futuron,Supplemental,Traffic]"
1987,"[Technic,Service Packs,Basic]"
1986,"[Supplemental,Classic Space,Service Packs]"
1985,"[Basic,Technic,Classic Space]"
1984,"[Service Packs,Classic Space,Lion Knights]"
1983,"[Classic Space,Fabuland,Supplemental]"
1982,"[Technic,Fabuland,Service Packs]"
1981,"[Train,Basic Set,Classic Space]"
1980,"[Supplemental,12V,4.5V]"
1979,"[Classic Space,Fabuland,Expert Builder]"
1978,"[Expert Builder,Supplemental,Fire]"
1977,"[Train,Service Packs,Building Set with People]"
1976,"[Building Set with People,4.5V,Basic Set]"
1975,"[4.5V,Building Set with People,Factory]"
1974,"[Homemaker,12V,Building Set with People]"
1973,"[Supplemental,Basic Set,Construction]"
1972,"[4.5V,Supplemental,Factory]"
1971,"[Construction,Supplemental,Factory]"
1970,"[12V,Minitalia,Factory]"
1969,"[Supplemental,4.5V,12V]"
1968,"[4.5V,Basic Set,Building]"
1967,"[Supplemental,4.5V,Cargo]"
1966,"[Supplemental,4.5V,Classic]"
1965,"[Basic Set,Supplemental,Building]"
1964,"[Supplemental,Building,Books]"
1963,"[Supplemental,Books,Traffic]"
1962,"[Architecture,Supplemental,Town Plan]"
1961,"[Supplemental,Town Plan,Airport]"
1960,"[Supplemental,Books,Classic]"
1959,"[Supplemental,Basic Set,Town Plan]"
1958,"[Supplemental,Town Plan,Basic Set]"
1957,"[Town Plan,Supplemental,Basic Set]"
1956,"[Supplemental,Town Plan,Books]"
1955,"[Supplemental,Town Plan,Mosaic]"
1954,"[Supplemental,Town Plan]"
1953,[Supplemental]
1950,"[Supplemental,Basic Set]"
